seaSurveyName,seaNpdidSurvey,seaPolygonPointNumber,seaPolygonNSDeg,seaPolygonNSMin,seaPolygonNSSec,seaPolygonEWDeg,seaPolygonEWMin,seaPolygonEWSec,datesyncNPD
ABP17001,8461,1,59,22,40.00,1,43,32.00,10.10.2017
ABP17001,8461,2,59,27,19.00,1,43,10.00,10.10.2017
ABP17001,8461,3,59,43,59.00,1,53,8.00,10.10.2017
ABP17001,8461,4,59,48,9.00,2,14,13.00,10.10.2017
ABP17001,8461,5,59,46,10.00,2,26,52.00,10.10.2017
ABP17001,8461,6,59,32,4.00,2,18,9.00,10.10.2017
ABP17001,8461,7,59,18,56.00,2,7,33.00,10.10.2017
ABP17002,8467,1,59,25,50.00,1,41,3.00,10.10.2017
ABP17002,8467,2,59,18,14.00,1,36,38.00,10.10.2017
ABP17002,8467,3,59,15,0.00,1,51,18.00,10.10.2017
ABP17002,8467,4,59,14,32.00,1,50,54.00,10.10.2017
ABP17002,8467,5,59,12,10.00,2,2,33.00,10.10.2017
ABP17002,8467,6,59,15,54.00,2,5,45.00,10.10.2017
ABP17002,8467,7,59,21,39.00,2,0,13.00,10.10.2017
ABP17002,8467,8,59,22,51.00,1,54,45.00,10.10.2017
ABP17002,8467,9,59,25,50.00,1,41,3.00,10.10.2017
ABP17003,8476,1,56,51,20.00,2,46,38.00,10.10.2017
ABP17003,8476,2,57,14,44.00,2,24,1.00,10.10.2017
ABP17003,8476,3,57,23,17.00,2,53,47.00,10.10.2017
ABP17003,8476,4,56,59,48.00,3,16,3.00,10.10.2017
ABP17004,8479,1,66,2,20.00,8,12,51.00,10.10.2017
ABP17004,8479,2,65,44,26.00,8,5,46.00,10.10.2017
ABP17004,8479,3,65,21,4.00,7,26,59.00,10.10.2017
ABP17004,8479,4,65,26,28.00,7,2,47.00,10.10.2017
ABP17004,8479,5,65,42,10.00,7,6,45.00,10.10.2017
ABP17004,8479,6,65,58,40.00,7,21,53.00,10.10.2017
ABP17004,8479,7,66,10,21.00,7,41,57.00,10.10.2017
ABP17100,8448,1,59,46,25.00,2,35,45.00,10.10.2017
ABP17100,8448,2,59,51,45.00,2,38,40.00,10.10.2017
ABP17100,8448,3,59,53,30.00,2,38,40.00,10.10.2017
ABP17100,8448,4,59,53,30.00,2,33,0.00,10.10.2017
ABP17100,8448,5,59,51,45.00,2,33,0.00,10.10.2017
ABP17100,8448,6,59,46,25.00,2,34,40.00,10.10.2017
ABP17101,8474,1,56,14,41.00,3,20,20.00,10.10.2017
ABP17101,8474,2,56,14,41.00,3,21,30.00,10.10.2017
ABP17101,8474,3,56,15,20.00,3,21,30.00,10.10.2017
ABP17101,8474,4,56,15,20.00,3,20,20.00,10.10.2017
ABP17102,8491,1,56,17,37.00,3,22,29.00,10.10.2017
ABP17102,8491,2,56,17,37.00,3,25,31.00,10.10.2017
ABP17102,8491,3,56,15,18.00,3,25,30.00,10.10.2017
ABP17102,8491,4,56,15,18.00,3,22,28.00,10.10.2017
ABP17103,8492,1,57,6,37.00,2,50,35.00,10.10.2017
ABP17103,8492,2,57,6,45.00,2,51,1.00,10.10.2017
ABP17103,8492,3,57,6,17.00,2,51,31.00,10.10.2017
ABP17103,8492,4,57,6,9.00,2,51,5.00,10.10.2017
ABP17104,8522,0,61,11,20.00,2,4,52.00,10.10.2017
ABP17104,8522,0,61,35,10.00,2,40,12.00,10.10.2017
ABP17104,8522,1,61,48,58.00,2,42,0.00,10.10.2017
ABP17104,8522,2,61,48,58.00,2,48,54.00,10.10.2017
ABP17104,8522,3,61,34,59.00,2,46,48.00,10.10.2017
ABP17104,8522,4,61,9,0.00,2,17,2.00,10.10.2017
ABP17105,8547,1,59,2,56.79,2,14,52.43,10.10.2017
ABP17105,8547,2,59,2,55.87,2,12,18.86,10.10.2017
ABP17105,8547,3,59,1,40.98,2,12,20.59,10.10.2017
ABP17105,8547,4,59,1,41.89,2,14,54.07,10.10.2017
ABP17219,8423,1,56,15,6.90,3,32,37.00,10.10.2017
ABP17219,8423,2,56,10,37.90,3,35,7.40,10.10.2017
ABP17219,8423,3,56,8,15.20,3,34,20.50,10.10.2017
ABP17219,8423,4,56,6,35.40,3,28,45.20,10.10.2017
ABP17219,8423,5,56,6,36.70,3,22,46.10,10.10.2017
ABP17219,8423,6,56,8,6.50,3,20,22.10,10.10.2017
ABP17219,8423,7,56,11,14.70,3,18,10.50,10.10.2017
ABP17219,8423,8,56,18,53.60,3,15,48.50,10.10.2017
ABP17219,8423,9,56,20,35.30,3,17,9.40,10.10.2017
ABP17219,8423,10,56,21,47.90,3,22,9.20,10.10.2017
ABP17219,8423,11,56,20,25.60,3,28,25.00,10.10.2017
ABP17300,8424,1,59,41,59.00,2,39,28.00,10.10.2017
ABP17300,8424,2,59,54,5.00,2,46,30.00,10.10.2017
ABP17300,8424,3,59,56,31.00,2,30,16.00,10.10.2017
ABP17300,8424,4,59,51,18.00,2,27,11.00,10.10.2017
ABP17300,8424,5,59,50,55.00,2,29,48.00,10.10.2017
ABP17300,8424,6,59,44,9.00,2,25,16.00,10.10.2017
ABP17301,8443,1,56,16,31.00,3,21,51.00,10.10.2017
ABP17301,8443,2,56,17,6.00,3,21,57.00,10.10.2017
ABP17301,8443,3,56,17,31.00,3,22,24.00,10.10.2017
ABP17301,8443,4,56,17,45.00,3,23,20.00,10.10.2017
ABP17301,8443,5,56,17,41.00,3,24,20.00,10.10.2017
ABP17301,8443,6,56,17,22.00,3,25,7.00,10.10.2017
ABP17301,8443,7,56,16,46.00,3,25,37.00,10.10.2017
ABP17301,8443,8,56,16,9.00,3,25,36.00,10.10.2017
ABP17301,8443,9,56,15,48.00,3,25,10.00,10.10.2017
ABP17301,8443,10,56,15,29.00,3,24,1.50,10.10.2017
ABP17301,8443,11,56,15,31.00,3,23,4.50,10.10.2017
ABP17301,8443,12,56,15,49.00,3,22,24.00,10.10.2017
ABP17302,8450,1,72,47,0.00,20,58,10.00,10.10.2017
ABP17302,8450,2,72,51,50.00,20,58,10.00,10.10.2017
ABP17302,8450,3,72,51,50.00,20,41,45.00,10.10.2017
ABP17302,8450,4,72,47,0.00,20,41,50.00,10.10.2017
ABP17303,8455,1,72,6,50.00,21,45,18.00,10.10.2017
ABP17303,8455,2,72,2,9.00,22,13,8.00,10.10.2017
ABP17303,8455,3,72,6,50.00,22,21,31.00,10.10.2017
ABP17303,8455,4,72,11,32.00,21,53,36.00,10.10.2017
ABP17304,8472,1,57,7,12.00,2,49,3.00,10.10.2017
ABP17304,8472,2,57,4,50.00,2,51,26.00,10.10.2017
ABP17304,8472,3,57,5,39.00,2,54,11.00,10.10.2017
ABP17304,8472,4,57,8,1.00,2,51,48.00,10.10.2017
ABP17305,8488,1,65,38,59.79,7,22,35.22,10.10.2017
ABP17305,8488,2,65,41,56.76,7,24,50.56,10.10.2017
ABP17305,8488,3,65,46,14.40,7,29,14.77,10.10.2017
ABP17305,8488,4,65,44,20.83,7,39,34.20,10.10.2017
ABP17305,8488,5,65,40,1.00,7,34,45.75,10.10.2017
ABP17305,8488,6,65,37,17.79,7,32,52.01,10.10.2017
ABP17305,8488,7,65,33,9.07,7,26,58.30,10.10.2017
ABP17305,8488,8,65,34,51.96,7,17,40.75,10.10.2017
ABP17306,8484,1,72,6,50.00,21,45,18.00,10.10.2017
ABP17306,8484,2,72,2,9.00,22,13,8.00,10.10.2017
ABP17306,8484,3,72,6,50.00,22,21,31.00,10.10.2017
ABP17306,8484,4,72,11,32.00,21,53,36.00,10.10.2017
ABP17307,8483,1,72,42,0.00,34,45,0.00,10.10.2017
ABP17307,8483,2,72,42,0.00,34,59,55.00,10.10.2017
ABP17307,8483,3,72,34,0.00,34,59,55.00,10.10.2017
ABP17307,8483,4,72,34,0.00,34,45,0.00,10.10.2017
ABP17308,8485,1,72,43,24.00,20,55,17.00,10.10.2017
ABP17308,8485,2,72,52,32.00,21,1,53.00,10.10.2017
ABP17308,8485,3,72,53,34.00,20,45,20.00,10.10.2017
ABP17308,8485,4,72,44,26.00,20,38,52.00,10.10.2017
ABP17309,8487,1,59,49,12.00,2,8,50.00,10.10.2017
ABP17309,8487,2,59,48,32.00,2,14,13.00,10.10.2017
ABP17309,8487,3,59,45,10.00,2,11,48.00,10.10.2017
ABP17309,8487,4,59,46,10.00,2,6,50.00,10.10.2017
ABP17310,8508,1,65,43,20.00,7,38,20.00,10.10.2017
ABP17310,8508,2,65,43,20.00,7,50,20.00,10.10.2017
ABP17310,8508,3,65,48,15.00,7,50,20.00,10.10.2017
ABP17310,8508,4,65,48,15.00,7,38,20.00,10.10.2017
ABP17311,8523,1,65,47,29.00,7,38,44.00,10.10.2017
ABP17311,8523,2,65,46,1.00,7,44,27.00,10.10.2017
ABP17311,8523,3,65,48,18.00,7,47,55.00,10.10.2017
ABP17311,8523,4,65,49,48.00,7,42,10.00,10.10.2017
ABP17312,8525,1,59,41,40.00,2,30,30.00,10.10.2017
ABP17312,8525,2,59,53,40.00,2,30,30.00,10.10.2017
ABP17312,8525,3,59,53,49.00,2,40,15.00,10.10.2017
ABP17312,8525,4,59,41,40.00,2,40,15.00,10.10.2017
ALWYN2013,7965,1,60,57,14.00,1,51,29.00,10.10.2017
ALWYN2013,7965,2,60,51,14.00,1,57,49.00,10.10.2017
ALWYN2013,7965,3,60,42,38.00,1,58,1.00,10.10.2017
ALWYN2013,7965,4,60,38,21.00,1,46,41.00,10.10.2017
ALWYN2013,7965,5,60,40,36.00,1,35,30.00,10.10.2017
ALWYN2013,7965,6,60,55,31.00,1,28,45.00,10.10.2017
ARX1301,7936,1,73,49,27.55,32,32,3.37,10.10.2017
ARX1301,7936,2,73,49,49.33,32,35,12.51,10.10.2017
ARX1301,7936,3,73,49,51.34,32,42,40.45,10.10.2017
ARX1301,7936,4,73,46,21.79,37,2,48.99,10.10.2017
ARX1301,7936,5,73,45,48.16,37,8,18.63,10.10.2017
ARX1301,7936,6,73,44,48.36,37,11,8.11,10.10.2017
ARX1301,7936,7,73,41,36.60,37,11,49.80,10.10.2017
ARX1301,7936,8,73,39,50.63,37,11,41.84,10.10.2017
ARX1301,7936,9,73,39,50.63,37,10,48.19,10.10.2017
ARX1301,7936,10,73,36,41.84,37,6,29.97,10.10.2017
ARX1301,7936,11,71,11,30.06,33,22,45.85,10.10.2017
ARX1301,7936,12,71,9,0.98,33,18,50.50,10.10.2017
ARX1301,7936,13,71,8,13.86,33,13,37.71,10.10.2017
ARX1301,7936,14,71,6,0.36,31,59,57.54,10.10.2017
ARX1301,7936,15,71,6,24.34,31,54,40.78,10.10.2017
ARX1301,7936,16,71,7,35.31,31,51,31.10,10.10.2017
ARX1301,7936,17,71,8,40.23,31,50,48.16,10.10.2017
ARX1301,7936,18,72,18,27.15,31,50,10.72,10.10.2017
ARX1301,7936,19,72,17,14.99,30,41,15.26,10.10.2017
ARX1301,7936,20,72,18,24.31,30,33,37.05,10.10.2017
ARX1301,7936,21,72,20,2.02,30,32,2.82,10.10.2017
ARX1301,7936,22,73,43,31.18,32,21,4.36,10.10.2017
ARX1301,7936,23,73,48,10.02,32,28,5.46,10.10.2017
ARX1301,7936,24,73,48,58.07,32,29,50.75,10.10.2017
ARX1301,7936,25,73,49,27.55,32,32,3.37,10.10.2017
ARX14001,8016,1,71,7,42.19,31,58,41.78,10.10.2017
ARX14001,8016,2,71,29,45.47,31,58,43.78,10.10.2017
ARX14001,8016,3,71,42,6.87,31,58,41.52,10.10.2017
ARX14001,8016,4,71,56,33.65,31,58,40.29,10.10.2017
ARX14001,8016,5,72,12,53.65,31,58,36.57,10.10.2017
ARX14001,8016,6,72,20,14.59,31,58,33.47,10.10.2017
ARX14001,8016,7,72,18,40.68,30,21,6.92,10.10.2017
ARX14001,8016,8,73,0,57.28,31,14,20.41,10.10.2017
ARX14001,8016,9,74,13,3.49,32,56,32.37,10.10.2017
ARX14001,8016,10,74,29,54.00,33,22,48.36,10.10.2017
ARX14001,8016,11,74,30,58.92,33,24,34.39,10.10.2017
ARX14001,8016,12,74,31,0.74,33,28,46.89,10.10.2017
ARX14001,8016,13,74,30,59.35,34,0,51.12,10.10.2017
ARX14001,8016,14,74,30,59.27,34,45,25.67,10.10.2017
ARX14001,8016,15,74,30,59.61,35,9,47.91,10.10.2017
ARX14001,8016,16,74,30,59.36,35,39,29.50,10.10.2017
ARX14001,8016,17,74,30,59.05,36,2,37.12,10.10.2017
ARX14001,8016,18,74,30,59.15,36,31,46.21,10.10.2017
ARX14001,8016,19,74,30,59.36,36,58,47.75,10.10.2017
ARX14001,8016,20,74,29,43.87,36,59,2.15,10.10.2017
ARX14001,8016,21,74,15,0.00,36,59,3.05,10.10.2017
ARX14001,8016,22,74,0,0.00,36,59,3.92,10.10.2017
ARX14001,8016,23,73,45,0.00,36,59,4.78,10.10.2017
ARX14001,8016,24,73,41,13.49,36,59,4.98,10.10.2017
ARX14001,8016,25,73,30,7.10,36,39,40.74,10.10.2017
ARX14001,8016,26,73,29,48.73,36,39,9.04,10.10.2017
ARX14001,8016,27,73,18,4.18,36,19,9.48,10.10.2017
ARX14001,8016,28,73,15,7.00,36,14,12.59,10.10.2017
ARX14001,8016,29,73,6,1.26,35,59,9.93,10.10.2017
ARX14001,8016,30,73,0,6.90,35,49,33.15,10.10.2017
ARX14001,8016,31,72,53,39.27,35,39,10.39,10.10.2017
ARX14001,8016,32,72,45,6.81,35,25,39.94,10.10.2017
ARX14001,8016,33,72,40,57.50,35,19,10.84,10.10.2017
ARX14001,8016,34,72,30,6.71,35,2,30.70,10.10.2017
ARX14001,8016,35,72,27,55.22,34,59,11.31,10.10.2017
ARX14001,8016,36,72,15,6.62,34,40,3.32,10.10.2017
ARX14001,8016,37,72,14,31.65,34,39,11.78,10.10.2017
ARX14001,8016,38,72,0,45.94,34,19,12.26,10.10.2017
ARX14001,8016,39,72,0,6.53,34,18,15.81,10.10.2017
ARX14001,8016,40,71,46,37.26,33,59,12.74,10.10.2017
ARX14001,8016,41,71,45,6.45,33,57,6.31,10.10.2017
ARX14001,8016,42,71,32,4.70,33,39,13.23,10.10.2017
ARX14001,8016,43,71,30,6.36,33,36,33.09,10.10.2017
ARX14001,8016,44,71,17,7.30,33,19,13.71,10.10.2017
ARX14001,8016,45,71,15,6.30,33,16,34.54,10.10.2017
ARX14001,8016,46,71,9,51.68,33,9,45.71,10.10.2017
ARX14001,8016,47,71,7,42.19,31,58,41.78,10.10.2017
ARX14300,8081,1,73,12,23.31,31,33,11.93,10.10.2017
ARX14300,8081,2,73,10,25.82,29,3,48.23,10.10.2017
ARX14300,8081,3,71,46,38.33,24,34,18.60,10.10.2017
ARX14300,8081,4,71,21,30.06,24,54,0.01,10.10.2017
ARX14300,8081,5,72,19,13.05,29,51,1.75,10.10.2017
ARX14300,8081,6,72,19,43.14,30,26,8.54,10.10.2017
ARX14300,8081,7,73,12,23.31,31,33,11.93,10.10.2017
AX0901,7145,1,63,29,4.47,5,43,35.69,10.10.2017
AX0901,7145,2,63,32,4.31,5,50,31.04,10.10.2017
AX0901,7145,3,63,26,30.78,6,2,30.83,10.10.2017
AX0901,7145,4,63,23,31.52,5,55,35.54,10.10.2017
AX0902,7147,1,59,13,13.00,2,13,36.00,10.10.2017
AX0902,7147,2,59,13,16.00,2,22,0.00,10.10.2017
AX0902,7147,3,59,8,57.00,2,22,5.00,10.10.2017
AX0902,7147,4,59,8,55.00,2,13,42.00,10.10.2017
BBE,7513,1,74,17,36.30,21,57,41.50,10.10.2017
BBE,7513,2,73,49,1.80,25,46,19.20,10.10.2017
BBE,7513,3,72,21,51.80,23,14,54.20,10.10.2017
BBE,7513,4,72,53,12.80,19,29,29.00,10.10.2017
BE1101,7437,1,61,39,1.13,2,43,48.71,10.10.2017
BE1101,7437,2,61,36,50.01,2,53,9.09,10.10.2017
BE1101,7437,3,61,32,19.89,2,48,12.25,10.10.2017
BE1101,7437,4,61,34,29.90,2,38,38.36,10.10.2017
BG0901,7041,1,61,46,39.40,2,31,17.90,10.10.2017
BG0901,7041,2,61,46,2.60,2,43,23.10,10.10.2017
BG0901,7041,3,61,41,44.80,2,43,27.30,10.10.2017
BG0901,7041,4,61,41,41.50,2,31,25.00,10.10.2017
BG0902,7042,1,61,49,23.70,2,49,4.00,10.10.2017
BG0902,7042,2,61,48,49.60,2,51,9.40,10.10.2017
BG0902,7042,3,61,48,36.20,2,49,57.00,10.10.2017
BG0902,7042,4,61,49,7.60,2,48,35.90,10.10.2017
BG0903,7043,1,61,49,3.79,2,47,19.85,10.10.2017
BG0903,7043,2,61,49,47.20,2,41,24.65,10.10.2017
BG0903,7043,3,61,46,34.16,2,39,39.66,10.10.2017
BG0903,7043,4,61,45,50.83,2,45,34.28,10.10.2017
BG0904,7074,1,65,58,7.00,3,45,55.00,10.10.2017
BG0904,7074,2,65,59,40.00,3,38,38.00,10.10.2017
BG0904,7074,3,66,30,10.00,4,24,29.00,10.10.2017
BG0904,7074,4,66,37,45.00,3,44,35.00,10.10.2017
BG0904,7074,5,66,43,49.00,3,52,4.00,10.10.2017
BG0904,7074,6,66,55,20.00,4,1,0.00,10.10.2017
BG0904,7074,7,66,45,49.00,4,50,42.00,10.10.2017
BG0904,7074,8,67,10,44.00,5,30,59.00,10.10.2017
BG0904,7074,9,67,10,35.00,5,40,0.00,10.10.2017
BG0904,7074,10,66,55,37.00,5,40,0.00,10.10.2017
BG0904,7074,11,66,44,2.00,5,0,9.00,10.10.2017
BG0904,7074,12,66,40,24.00,5,18,39.00,10.10.2017
BG0904,7074,13,66,27,31.00,5,14,7.00,10.10.2017
BG0904,7074,14,66,21,45.00,5,7,59.00,10.10.2017
BG0904,7074,15,66,28,42.00,4,31,59.00,10.10.2017
BG0905,7132,1,57,57,30.89,1,50,2.54,10.10.2017
BG0905,7132,2,57,59,4.01,1,51,12.57,10.10.2017
BG0905,7132,3,58,1,2.72,1,55,35.06,10.10.2017
BG0905,7132,4,58,0,11.64,1,56,54.56,10.10.2017
BG0905,7132,5,57,59,5.02,1,54,20.66,10.10.2017
BG0905,7132,6,57,57,43.44,1,56,41.86,10.10.2017
BG0905,7132,7,57,57,13.80,1,55,37.65,10.10.2017
BG1001,7239,1,58,3,29.50,1,59,49.00,10.10.2017
BG1001,7239,2,58,3,10.30,1,50,11.10,10.10.2017
BG1001,7239,3,57,54,59.40,1,51,13.70,10.10.2017
BG1001,7239,4,57,55,17.20,2,0,47.40,10.10.2017
BG1002,7276,1,72,5,31.73,25,10,32.69,10.10.2017
BG1002,7276,2,72,0,7.33,24,14,50.67,10.10.2017
BG1002,7276,3,72,28,31.76,23,44,20.31,10.10.2017
BG1002,7276,4,72,34,4.51,24,41,21.37,10.10.2017
BG1003,7290,1,66,41,46.83,4,38,56.11,10.10.2017
BG1003,7290,2,66,45,10.23,4,21,32.75,10.10.2017
BG1003,7290,3,66,51,57.95,4,29,46.35,10.10.2017
BG1003,7290,4,66,48,35.02,4,47,28.73,10.10.2017
BG1003,7290,5,66,41,46.83,4,38,56.11,10.10.2017
BG1004,7332,1,66,37,1.46,4,45,4.61,10.10.2017
BG1004,7332,2,66,30,42.36,4,37,25.24,10.10.2017
BG1004,7332,3,66,34,19.71,4,18,51.17,10.10.2017
BG1004,7332,4,66,40,40.26,4,26,17.91,10.10.2017
BG1004,7332,5,66,37,1.46,4,45,4.61,10.10.2017
bg1101,7384,1,61,52,51.20,2,54,53.53,10.10.2017
bg1101,7384,2,61,42,33.63,2,54,55.24,10.10.2017
bg1101,7384,3,61,42,31.17,2,33,29.52,10.10.2017
bg1101,7384,4,61,52,48.71,2,33,20.63,10.10.2017
bg1102,7390,1,61,38,46.16,3,11,25.60,10.10.2017
bg1102,7390,2,61,42,21.50,3,24,46.22,10.10.2017
bg1102,7390,3,61,46,57.90,3,30,17.40,10.10.2017
bg1102,7390,4,62,5,4.01,2,21,28.55,10.10.2017
bg1102,7390,5,61,54,57.77,2,9,41.78,10.10.2017
bg1102,7390,6,61,47,37.14,2,1,16.13,10.10.2017
bg1102,7390,7,61,31,29.33,3,2,49.78,10.10.2017
bg1103,7402,1,61,44,34.93,2,51,18.51,10.10.2017
bg1103,7402,2,61,41,57.03,2,44,4.18,10.10.2017
bg1103,7402,3,61,35,48.51,2,34,34.48,10.10.2017
bg1103,7402,4,61,23,46.47,2,16,1.44,10.10.2017
bg1103,7402,5,61,15,12.92,2,3,3.54,10.10.2017
bg1103,7402,6,61,2,57.76,1,47,33.13,10.10.2017
bg1103,7402,7,61,2,21.56,1,46,18.60,10.10.2017
bg1103,7402,8,61,0,56.88,1,41,46.68,10.10.2017
bg1103,7402,9,61,1,10.83,1,41,29.12,10.10.2017
bg1103,7402,10,61,2,34.97,1,45,59.88,10.10.2017
bg1103,7402,11,61,3,7.47,1,47,6.49,10.10.2017
bg1103,7402,12,61,15,21.38,2,2,34.83,10.10.2017
bg1103,7402,13,61,23,55.72,2,15,33.25,10.10.2017
bg1103,7402,14,61,36,0.22,2,34,5.89,10.10.2017
bg1103,7402,15,61,42,6.26,2,43,27.83,10.10.2017
bg1103,7402,16,61,43,47.23,2,41,9.67,10.10.2017
bg1103,7402,17,61,49,9.11,2,39,16.34,10.10.2017
bg1103,7402,18,61,49,56.94,2,49,26.97,10.10.2017
BG1104,7409,1,58,14,28.12,3,50,11.60,10.10.2017
BG1104,7409,2,58,14,23.65,4,0,30.29,10.10.2017
BG1104,7409,3,58,8,4.76,4,0,19.58,10.10.2017
BG1104,7409,4,58,8,9.21,3,50,2.72,10.10.2017
BG1201,7621,1,61,43,14.08,2,46,25.81,10.10.2017
BG1201,7621,2,61,47,24.97,2,58,58.82,10.10.2017
BG1201,7621,3,61,51,36.26,2,52,45.89,10.10.2017
BG1201,7621,4,61,47,24.80,2,40,12.02,10.10.2017
BG1202,7624,1,61,50,4.70,2,44,36.27,10.10.2017
BG1202,7624,2,61,50,23.22,2,48,15.45,10.10.2017
BG1202,7624,3,61,48,22.76,2,52,36.01,10.10.2017
BG1202,7624,4,61,45,58.52,2,53,32.93,10.10.2017
BG1202,7624,5,61,40,25.14,2,42,23.92,10.10.2017
BG1202,7624,6,61,20,58.20,2,12,7.46,10.10.2017
BG1202,7624,7,61,13,10.94,2,0,56.51,10.10.2017
BG1202,7624,8,61,13,26.50,1,59,47.31,10.10.2017
BG1202,7624,9,61,17,59.84,2,4,7.44,10.10.2017
BG1202,7624,10,61,21,17.09,2,11,11.31,10.10.2017
BG27-03-2012,7617,1,58,9,4.14,3,50,58.01,10.10.2017
BG27-03-2012,7617,2,58,13,22.78,3,51,4.18,10.10.2017
BG27-03-2012,7617,3,58,13,19.01,3,59,45.01,10.10.2017
BG27-03-2012,7617,4,58,9,0.38,3,59,37.78,10.10.2017
BGN1201,7626,1,61,14,6.00,3,21,0.00,10.10.2017
BGN1201,7626,2,61,55,2.00,3,20,36.00,10.10.2017
BGN1201,7626,3,61,55,2.00,3,46,53.00,10.10.2017
BGN1201,7626,4,61,14,5.00,3,46,42.00,10.10.2017
BGN15300,8244,1,61,23,48.00,3,44,48.00,10.10.2017
BGN15300,8244,2,61,28,6.00,3,44,54.00,10.10.2017
BGN15300,8244,3,61,28,2.00,3,53,54.00,10.10.2017
BGN15300,8244,4,61,23,44.00,3,53,46.00,10.10.2017
BGN16300,8413,1,61,15,42.00,3,36,12.00,10.10.2017
BGN16300,8413,2,61,35,16.00,3,36,34.00,10.10.2017
BGN16300,8413,3,61,35,5.00,4,5,56.00,10.10.2017
BGN16300,8413,4,61,15,32.00,4,5,15.00,10.10.2017
BP083D004,7035,1,58,20,36.47,1,33,49.69,10.10.2017
BP083D004,7035,2,58,20,40.13,1,39,26.64,10.10.2017
BP083D004,7035,3,58,18,45.48,1,39,30.99,10.10.2017
BP083D004,7035,4,58,18,47.84,1,43,21.32,10.10.2017
BP083D004,7035,5,58,11,15.29,1,43,37.57,10.10.2017
BP083D004,7035,6,58,11,14.60,1,42,28.43,10.10.2017
BP17200,8526,1,58,19,47.15,1,24,13.25,10.10.2017
BP17200,8526,2,58,20,0.59,1,44,17.26,10.10.2017
BP17200,8526,3,58,9,35.35,1,44,39.42,10.10.2017
BP17200,8526,4,58,9,21.99,1,24,41.27,10.10.2017
BPB11305,7502,1,65,47,18.00,7,36,54.00,10.10.2017
BPB11305,7502,2,65,50,30.00,7,41,44.00,10.10.2017
BPB11305,7502,3,65,50,27.00,7,41,59.00,10.10.2017
BPB11305,7502,4,65,58,46.00,7,40,2.00,10.10.2017
BPB11305,7502,5,65,58,46.00,7,41,21.00,10.10.2017
BPB11305,7502,6,65,50,5.00,7,43,23.00,10.10.2017
BPB11305,7502,7,65,48,31.00,7,49,33.00,10.10.2017
BPB11305,7502,8,65,45,19.00,7,44,42.00,10.10.2017
BPN0301_12,7300,1,56,11,20.00,3,24,10.00,10.10.2017
BPN0301_12,7300,2,56,19,38.00,3,17,18.00,10.10.2017
BPN0301_12,7300,3,56,21,38.00,3,25,9.00,10.10.2017
BPN0301_12,7300,4,56,13,20.00,3,31,59.00,10.10.2017
BPN0301_13,7376,1,56,11,20.00,3,24,10.00,10.10.2017
BPN0301_13,7376,2,56,19,38.00,3,17,18.00,10.10.2017
BPN0301_13,7376,3,56,21,38.00,3,25,9.00,10.10.2017
BPN0301_13,7376,4,56,13,20.00,3,31,59.00,10.10.2017
BPN0301_14,7459,1,56,11,20.00,3,24,10.00,10.10.2017
BPN0301_14,7459,2,56,19,38.00,3,17,18.00,10.10.2017
BPN0301_14,7459,3,56,21,38.00,3,25,9.00,10.10.2017
BPN0301_14,7459,4,56,13,20.00,3,31,59.00,10.10.2017
BPN0301-15,7601,1,56,11,20.00,3,24,10.00,10.10.2017
BPN0301-15,7601,2,56,19,38.00,3,17,18.00,10.10.2017
BPN0301-15,7601,3,56,21,38.00,3,25,9.00,10.10.2017
BPN0301-15,7601,4,56,13,20.00,3,31,59.00,10.10.2017
BPN0990,7152,1,56,18,50.00,3,21,0.00,10.10.2017
BPN0990,7152,2,56,18,50.00,3,26,50.00,10.10.2017
BPN0990,7152,3,56,15,0.00,3,26,50.00,10.10.2017
BPN0990,7152,4,56,15,0.00,3,21,50.00,10.10.2017
BPN10301,7325,1,56,17,39.00,3,18,2.00,10.10.2017
BPN10301,7325,2,56,17,38.00,3,24,14.00,10.10.2017
BPN10301,7325,3,56,21,15.00,3,24,16.00,10.10.2017
BPN10301,7325,4,56,21,16.00,3,18,4.00,10.10.2017
BPN10302,7326,1,56,11,46.00,3,22,14.00,10.10.2017
BPN10302,7326,2,56,11,44.00,3,29,47.00,10.10.2017
BPN10302,7326,3,56,15,24.00,3,29,50.00,10.10.2017
BPN10302,7326,4,56,15,26.00,3,22,16.00,10.10.2017
BPN10303,7327,1,56,9,4.00,3,24,49.00,10.10.2017
BPN10303,7327,2,56,9,2.00,3,30,19.00,10.10.2017
BPN10303,7327,3,56,12,10.00,3,30,22.00,10.10.2017
BPN10303,7327,4,56,12,11.00,3,24,51.00,10.10.2017
BPN11101,7385,1,57,14,2.33,2,25,8.59,10.10.2017
BPN11101,7385,2,57,21,46.89,2,50,47.66,10.10.2017
BPN11101,7385,3,57,2,39.06,3,16,8.07,10.10.2017
BPN11101,7385,4,56,53,37.75,2,45,58.32,10.10.2017
BPN11102,7495,1,56,20,36.00,3,9,33.00,10.10.2017
BPN11102,7495,2,56,24,23.00,3,24,22.00,10.10.2017
BPN11102,7495,3,56,11,55.00,3,34,38.00,10.10.2017
BPN11102,7495,4,56,8,9.00,3,19,53.00,10.10.2017
BPN11301,7391,1,56,17,39.00,3,18,2.00,10.10.2017
BPN11301,7391,2,56,17,38.00,3,24,14.00,10.10.2017
BPN11301,7391,3,56,21,15.00,3,24,16.00,10.10.2017
BPN11301,7391,4,56,21,16.00,3,18,4.00,10.10.2017
